Cell_ID,Timestamp,Machine,Shift,Operator,Recipe,Batch_ID,Cell_Type,Voltage,Current,Temperature
100500,2026-01-03 01:40:00,M6,Night,OP07,R2,B002,4680-A,3.663,45.55,29.56
100501,2026-01-03 01:45:00,M7,Night,OP01,R3,B002,4680-A,3.675,46.64,30.99
100502,2026-01-03 01:50:00,M6,Night,OP09,R2,B002,4680-A,3.709,48.27,29.39
100503,2026-01-03 01:55:00,M7,Night,OP09,R2,B002,4680-B,3.646,47.42,33.96
100504,2026-01-03 02:00:00,M2,Night,OP03,R1,B002,4680-B,3.624,47.75,26.57
100505,2026-01-03 02:05:00,M6,Night,OP06,R3,B002,4680-B,3.725,49.89,27.76
100506,2026-01-03 02:10:00,M3,Night,OP04,R3,B002,4680-B,3.736,51.66,25.95
100507,2026-01-03 02:15:00,M1,Night,OP01,R1,B002,4680-A,3.673,45.12,29.16
100508,2026-01-03 02:20:00,M6,Night,OP08,R3,B002,4680-B,3.713,53.65,27.26
100509,2026-01-03 02:25:00,M3,Night,OP10,R3,B002,4680-A,3.665,44.64,31.09
100510,2026-01-03 02:30:00,M6,Night,OP10,R2,B002,4680-A,3.627,48.97,28.28
100511,2026-01-03 02:35:00,M7,Night,OP10,R3,B002,4680-B,3.666,43.22,30.7
100512,2026-01-03 02:40:00,M6,Night,OP09,R3,B002,4680-B,3.664,44.49,29.03
100513,2026-01-03 02:45:00,M5,Night,OP08,R1,B002,4680-B,3.679,53.32,22.26
100514,2026-01-03 02:50:00,M6,Night,OP11,R1,B002,4680-B,3.666,46.19,31.32
100515,2026-01-03 02:55:00,M5,Night,OP12,R3,B002,4680-A,3.65,48.91,28.94
100516,2026-01-03 03:00:00,M8,Night,OP05,R3,B002,4680-A,3.717,47.7,29.53
100517,2026-01-03 03:05:00,M1,Night,OP10,R2,B002,4680-A,3.654,45.52,27.59
100518,2026-01-03 03:10:00,M7,Night,OP03,R3,B002,4680-A,3.691,50.74,30.55
100519,2026-01-03 03:15:00,M1,Night,OP10,R3,B002,4680-A,3.725,47.19,26.39
100520,2026-01-03 03:20:00,M4,Night,OP01,R2,B002,4680-B,3.658,40.73,27.96
100521,2026-01-03 03:25:00,M7,Night,OP03,R2,B002,4680-A,3.702,47.16,32.77
100522,2026-01-03 03:30:00,M7,Night,OP09,R3,B002,4680-B,3.695,43.31,31.13
100523,2026-01-03 03:35:00,M1,Night,OP12,R1,B002,4680-A,3.704,44.24,26.94
100524,2026-01-03 03:40:00,M6,Night,OP11,R2,B002,4680-B,3.639,49.4,28.59
100525,2026-01-03 03:45:00,M6,Night,OP03,R2,B002,4680-B,3.632,51.49,27.93
100526,2026-01-03 03:50:00,M6,Night,OP11,R3,B002,4680-B,3.656,48.6,26.53
100527,2026-01-03 03:55:00,M8,Night,OP04,R1,B002,4680-B,3.65,48.19,30.3
100528,2026-01-03 04:00:00,M5,Night,OP04,R2,B002,4680-B,3.701,48.53,28.86
100529,2026-01-03 04:05:00,M4,Night,OP12,R3,B002,4680-B,3.655,48.26,27.27
100530,2026-01-03 04:10:00,M6,Night,OP08,R2,B002,4680-B,3.592,49.31,25.86
100531,2026-01-03 04:15:00,M5,Night,OP02,R3,B002,4680-B,3.609,44.97,29.81
