Cell_ID,Timestamp,Machine,Shift,Operator,Recipe,Batch_ID,Cell_Type,Voltage,Current,Temperature
101000,2026-01-04 19:20:00,M3,Night,OP02,R1,B003,4680-B,3.654,46.76,24.18
101001,2026-01-04 19:25:00,M5,Night,OP08,R3,B003,4680-B,3.697,43.99,31.78
101002,2026-01-04 19:30:00,M7,Night,OP11,R1,B003,4680-B,3.634,51.25,31.97
101003,2026-01-04 19:35:00,M8,Night,OP06,R1,B003,4680-A,3.677,51.98,27.06
101004,2026-01-04 19:40:00,M7,Night,OP01,R1,B003,4680-A,3.638,46.25,28.43
101005,2026-01-04 19:45:00,M3,Night,OP04,R3,B003,4680-A,3.634,39.5,30.08
101006,2026-01-04 19:50:00,M3,Night,OP02,R2,B003,4680-A,3.697,51.6,27.1
101007,2026-01-04 19:55:00,M7,Night,OP11,R2,B003,4680-A,3.668,51.46,30.07
101008,2026-01-04 20:00:00,M1,Night,OP11,R1,B003,4680-A,3.668,48.57,24.26
101009,2026-01-04 20:05:00,M1,Night,OP12,R1,B003,4680-B,3.665,48.1,28.9
101010,2026-01-04 20:10:00,M8,Night,OP07,R1,B003,4680-B,3.66,49.36,23.02
101011,2026-01-04 20:15:00,M8,Night,OP12,R1,B003,4680-A,3.682,49.34,26.04
101012,2026-01-04 20:20:00,M1,Night,OP05,R2,B003,4680-A,3.685,45.11,27.31
101013,2026-01-04 20:25:00,M5,Night,OP10,R3,B003,4680-A,3.698,48.47,27.59
101014,2026-01-04 20:30:00,M7,Night,OP02,R3,B003,4680-A,3.687,50.14,29.83
101015,2026-01-04 20:35:00,M5,Night,OP02,R1,B003,4680-B,3.715,46.99,23.9
101016,2026-01-04 20:40:00,M4,Night,OP10,R1,B003,4680-B,3.716,43.88,28.85
101017,2026-01-04 20:45:00,M4,Night,OP06,R3,B003,4680-B,3.671,45.65,26.58
101018,2026-01-04 20:50:00,M5,Night,OP03,R1,B003,4680-B,3.654,46.33,31.47
101019,2026-01-04 20:55:00,M4,Night,OP12,R2,B003,4680-B,3.644,46.81,28.41
101020,2026-01-04 21:00:00,M4,Night,OP01,R1,B003,4680-A,3.67,47.72,28.63
101021,2026-01-04 21:05:00,M2,Night,OP10,R3,B003,4680-B,3.635,48.96,26.94
101022,2026-01-04 21:10:00,M3,Night,OP02,R3,B003,4680-A,3.681,48.68,31.51
101023,2026-01-04 21:15:00,M2,Night,OP05,R3,B003,4680-A,3.642,53.11,29.39
101024,2026-01-04 21:20:00,M8,Night,OP05,R2,B003,4680-B,3.729,45.8,28.4
101025,2026-01-04 21:25:00,M1,Night,OP02,R1,B003,4680-A,3.703,49.66,31.64
101026,2026-01-04 21:30:00,M5,Night,OP06,R3,B003,4680-B,3.673,51.6,28.47
101027,2026-01-04 21:35:00,M7,Night,OP12,R1,B003,4680-A,3.621,44.65,31.28
101028,2026-01-04 21:40:00,M1,Night,OP01,R1,B003,4680-A,3.689,47.83,27.63
101029,2026-01-04 21:45:00,M6,Night,OP06,R2,B003,4680-B,3.621,48.43,30.44
101030,2026-01-04 21:50:00,M2,Night,OP06,R2,B003,4680-A,3.703,47.72,24.36
101031,2026-01-04 21:55:00,M2,Night,OP07,R2,B003,4680-B,3.654,51.84,28.84
101032,2026-01-04 22:00:00,M5,Night,OP07,R3,B003,4680-B,3.698,47.61,30.08
101033,2026-01-04 22:05:00,M7,Night,OP11,R1,B003,4680-A,3.659,50.57,32.16
101034,2026-01-04 22:10:00,M3,Night,OP12,R3,B003,4680-A,3.712,45.81,31.3
101035,2026-01-04 22:15:00,M3,Night,OP02,R2,B003,4680-B,3.641,49.72,28.72
101036,2026-01-04 22:20:00,M8,Night,OP03,R3,B003,4680-B,3.624,44.51,28.9
101037,2026-01-04 22:25:00,M6,Night,OP10,R1,B003,4680-A,3.671,44.37,27.43
101038,2026-01-04 22:30:00,M8,Night,OP08,R1,B003,4680-B,3.688,47.42,28.78
101039,2026-01-04 22:35:00,M8,Night,OP01,R1,B003,4680-B,3.711,52.97,26.49
101040,2026-01-04 22:40:00,M6,Night,OP01,R3,B003,4680-A,3.662,49.47,27.03
101041,2026-01-04 22:45:00,M6,Night,OP09,R3,B003,4680-A,3.676,50.22,27.28
